name,vary_name,type,ve_est_mean,ve_est_sd,n_study_mean,pvac,pflu,ve,pnonflu,sympt,clin,test_clin,test_nonclin,sens_vac,spec_vac,sens_flu,spec_flu,prop,nsam
children,sens_flu--all-high,surv,0.27911835538899893,0.08706081934887944,2381.18,0.1,0.15,0.6,0.3,0.84,0.4,0.17,0.15,0.9,0.9,1,0.984,0.189,94500
children,sens_flu--children-high,surv,0.287441661334882,0.08756775387107442,2379.516,0.1,0.15,0.6,0.3,0.84,0.4,0.17,0.15,0.9,0.9,1,0.984,0.189,94500
children,spec_vac--all-high,surv,0.5557583191800453,0.097761215191455475,2381.18,0.1,0.15,0.6,0.3,0.84,0.4,0.17,0.15,0.9,1,0.86,0.984,0.189,94500
children,spec_vac--children-high,surv,0.5591380808676408,0.09246221607088691,2379.516,0.1,0.15,0.6,0.3,0.84,0.4,0.17,0.15,0.9,1,0.86,0.984,0.189,94500
children,sens_vac--all-med,surv,0.2700397713084774,0.094126932365232,2380.436,0.1,0.15,0.6,0.3,0.84,0.4,0.17,0.15,0.95,0.9,0.86,0.984,0.189,94500
children,sens_vac--all-high,surv,0.27951606219938824,0.09033079841254298,2381.18,0.1,0.15,0.6,0.3,0.84,0.4,0.17,0.15,1,0.9,0.86,0.984,0.189,94500
children,sens_vac--children-high,surv,0.2881106074703214,0.08926883478849663,2379.516,0.1,0.15,0.6,0.3,0.84,0.4,0.17,0.15,1,0.9,0.86,0.984,0.189,94500
children,test_nonclin--all-high,surv,0.263416259705963,0.0919962835738281,2381.18,0.1,0.15,0.6,0.3,0.84,0.4,0.17,0.3,0.9,0.9,0.86,0.984,0.189,94500
children,test_nonclin--children-high,surv,0.27432515826089815,0.0931794072464567,2379.516,0.1,0.15,0.6,0.3,0.84,0.4,0.17,0.3,0.9,0.9,0.86,0.984,0.189,94500
children,test_clin--all-med,surv,0.26997927310627123,0.0544299282985327,7000.53,0.1,0.15,0.6,0.3,0.84,0.4,0.5,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,test_clin--all-high,surv,0.2688275570722292,0.04301072027969658,12604.02,0.1,0.15,0.6,0.3,0.84,0.4,0.9,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,test_clin--children-high,surv,0.2674965427798653,0.03866794550687937,12600.49,0.1,0.15,0.6,0.3,0.84,0.4,0.9,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,clin--all-med,surv,0.26401880873468914,0.08235733103767436,2976.76,0.1,0.15,0.6,0.3,0.84,0.5,0.17,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,clin--all-high,surv,0.27059980126745986,0.06436664866064717,5358.176,0.1,0.15,0.6,0.3,0.84,0.9,0.17,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,clin--children-high,surv,0.27045168670947717,0.0643243161926014,5354.022,0.1,0.15,0.6,0.3,0.84,0.9,0.17,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,sympt--all-high,surv,0.26837459854177786,0.089015624532297,2551.994,0.1,0.15,0.6,0.3,0.9,0.4,0.17,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,sympt--children-high,surv,0.2691462370657146,0.0929907001625541,2549.312,0.1,0.15,0.6,0.3,0.9,0.4,0.17,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,ve--all-high,surv,0.40781752240628577,0.08215405463920053,2357.154,0.1,0.15,0.9,0.3,0.84,0.4,0.17,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,ve--children-high,surv,0.4096544939703124,0.07750220140740188,2355.036,0.1,0.15,0.9,0.3,0.84,0.4,0.17,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,pvac--all-med,surv,0.4205113426792371,0.06548115905042237,2284.122,0.3,0.15,0.6,0.3,0.84,0.4,0.17,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,pvac--all-high,surv,0.4761052500175514,0.05348240413830682,2186.754,0.5,0.15,0.6,0.3,0.84,0.4,0.17,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,pvac--children-high,surv,0.4712479927189226,0.05717249879484813,2185.282,0.5,0.15,0.6,0.3,0.84,0.4,0.17,0.15,0.9,0.9,0.86,0.984,0.189,94500
elderly,pvac--adults-high,admin,0.04767271108039136,0.07173193066409457,12218.366,0.05,0.05,0.4,0.1,0.84,1,0.22,0.15,0.98,0.7,0.86,0.984,0.154,77000
elderly,pvac--all-low,admin,0.04752039051004958,0.07056194785851805,12230.748,0.05,0.05,0.4,0.1,0.84,1,0.22,0.15,0.98,0.7,0.86,0.984,0.154,77000
elderly,pvac--children-high,admin,0.048064417366582124,0.07039573123695282,12225.24,0.05,0.05,0.4,0.1,0.84,1,0.22,0.15,0.98,0.7,0.86,0.984,0.154,77000
elderly,pvac--all-med,admin,0.180405322245019,0.05839893579144855,12204.164,0.3,0.05,0.4,0.1,0.84,1,0.22,0.15,0.98,0.7,0.86,0.984,0.154,77000
elderly,pvac--all-high,admin,0.23735452165287246,0.057950825405309395,12189.22,0.5,0.05,0.4,0.1,0.84,1,0.22,0.15,0.98,0.7,0.86,0.984,0.154,77000
elderly,pvac--elderly-high,admin,0.23790455318185844,0.05858362095484488,12192.896,0.5,0.05,0.4,0.1,0.84,1,0.22,0.15,0.98,0.7,0.86,0.984,0.154,77000
elderly,ve--adults-high,admin,0.06101222113292648,0.07652865944021496,12208.176,0.66,0.05,0.1,0.1,0.84,1,0.22,0.15,0.98,0.7,0.86,0.984,0.154,77000
elderly,ve--all-low,admin,0.06447941104673971,0.07611619856928258,12220.596,0.66,0.05,0.1,0.1,0.84,1,0.22,0.15,0.98,0.7,0.86,0.984,0.154,77000
elderly,ve--children-high,admin,0.06649612626864744,0.07512217336169495,12214.63,0.66,0.05,0.1,0.1,0.84,1,0.22,0.15,0.98,0.7,0.86,0.984,0.154,77000
elderly,sympt--adults-high,admin,0.2468976644784876,0.07018975530796692,11617.872,0.66,0.05,0.4,0.1,0.1,1,0.22,0.15,0.98,0.7,0.86,0.984,0.154,77000
elderly,sympt--all-low,admin,0.2510122928515139,0.07113876029908943,11630.122,0.66,0.05,0.4,0.1,0.1,1,0.22,0.15,0.98,0.7,0.86,0.984,0.154,77000
elderly,sympt--children-high,admin,0.24882301933363024,0.06737691955547068,11625.324,0.66,0.05,0.4,0.1,0.1,1,0.22,0.15,0.98,0.7,0.86,0.984,0.154,77000
elderly,sympt--all-med,admin,0.25106442671822754,0.06762613012131068,11920.586,0.66,0.05,0.4,0.1,0.5,1,0.22,0.15,0.98,0.7,0.86,0.984,0.154,77000
elderly,clin--adults-high,admin,0.25129589546501385,0.07131953347353426,11606.078,0.66,0.05,0.4,0.1,0.84,0.1,0.22,0.15,0.98,0.7,0.86,0.984,0.154,77000
elderly,clin--all-low,admin,0.24885857315021492,0.07153984768946843,11618.008,0.66,0.05,0.4,0.1,0.84,0.1,0.22,0.15,0.98,0.7,0.86,0.984,0.154,77000
elderly,clin--children-high,admin,0.24498648210864163,0.07259934791293678,11613.914,0.66,0.05,0.4,0.1,0.84,0.1,0.22,0.15,0.98,0.7,0.86,0.984,0.154,77000
elderly,clin--all-med,admin,0.24875806898145453,0.07057222217950206,11862.222,0.66,0.05,0.4,0.1,0.84,0.5,0.22,0.15,0.98,0.7,0.86,0.984,0.154,77000
elderly,clin--all-high,admin,0.2597108943383549,0.06801779562456552,12112.648,0.66,0.05,0.4,0.1,0.84,0.9,0.22,0.15,0.98,0.7,0.86,0.984,0.154,77000
elderly,clin--elderly-high,admin,0.2629699310480931,0.06444697770762874,12116.604,0.66,0.05,0.4,0.1,0.84,0.9,0.22,0.15,0.98,0.7,0.86,0.984,0.154,77000
elderly,test_clin--adults-high,admin,0.22587060370501374,0.08348622745565978,11101.276,0.66,0.05,0.4,0.1,0.84,1,0.1,0.15,0.98,0.7,0.86,0.984,0.154,77000
elderly,test_clin--all-low,admin,0.2283756810686453,0.08157350396303174,11112.244,0.66,0.05,0.4,0.1,0.84,1,0.1,0.15,0.98,0.7,0.86,0.984,0.154,77000
elderly,test_clin--children-high,admin,0.22164274853006546,0.07978319649245727,11110.342,0.66,0.05,0.4,0.1,0.84,1,0.1,0.15,0.98,0.7,0.86,0.984,0.154,77000
elderly,test_nonclin--adults-high,admin,0.30259996060608263,0.081079008490787,1948.608,0.66,0.05,0.4,0.1,0.84,1,0.22,0,0.98,0.7,0.86,0.984,0.154,77000
elderly,test_nonclin--all-low,admin,0.30219814004822143,0.08328773786665951,1947.852,0.66,0.05,0.4,0.1,0.84,1,0.22,0,0.98,0.7,0.86,0.984,0.154,77000
elderly,test_nonclin--children-high,admin,0.2965588781470973,0.08196003953435493,1946.05,0.66,0.05,0.4,0.1,0.84,1,0.22,0,0.98,0.7,0.86,0.984,0.154,77000
elderly,sens_vac--adults-high,admin,0.21858533966265206,0.0638881670339536,12163.586,0.66,0.05,0.4,0.1,0.84,1,0.22,0.15,0.9,0.7,0.86,0.984,0.154,77000
elderly,sens_vac--all-low,admin,0.22228379270976417,0.06217066222951311,12175.89,0.66,0.05,0.4,0.1,0.84,1,0.22,0.15,0.9,0.7,0.86,0.984,0.154,77000
elderly,sens_vac--children-high,admin,0.22049702943150273,0.06447628659750297,12169.798,0.66,0.05,0.4,0.1,0.84,1,0.22,0.15,0.9,0.7,0.86,0.984,0.154,77000
elderly,sens_vac--all-med,admin,0.24275632856799625,0.06582474103619769,12171.562,0.66,0.05,0.4,0.1,0.84,1,0.22,0.15,0.95,0.7,0.86,0.984,0.154,77000
elderly,spec_vac--adults-high,admin,0.23517596464631052,0.07403360464818101,12163.586,0.66,0.05,0.4,0.1,0.84,1,0.22,0.15,0.98,0.5,0.86,0.984,0.154,77000
elderly,spec_vac--all-low,admin,0.23488327489333993,0.07132078710386944,12175.89,0.66,0.05,0.4,0.1,0.84,1,0.22,0.15,0.98,0.5,0.86,0.984,0.154,77000
elderly,spec_vac--children-high,admin,0.2348701272530408,0.07051842010483436,12169.798,0.66,0.05,0.4,0.1,0.84,1,0.22,0.15,0.98,0.5,0.86,0.984,0.154,77000
