name,vary_name,type,ve_est_mean,ve_est_sd,n_study_mean,pflu,pnonflu,sympt,clin,test_clin,test_nonclin,sens_vac,spec_vac,sens_flu,spec_flu,prop,pvac,ve,nsam
special_no,ve-pvac,surv,0.3998384672945293,0.005121171846774978,275996.232,0.3,0.3,1,1,1,1,1,1,1,1,1,0.4,0.4,500000
special_no,ve-pvac,surv,0.5002460861671107,0.00422134288224316,269981.298,0.3,0.3,1,1,1,1,1,1,1,1,1,0.4,0.5,500000
special_no,ve-pvac,surv,0.6002566691375366,0.003614950660383996,264041.28,0.3,0.3,1,1,1,1,1,1,1,1,1,0.4,0.6,500000
special_no,ve-pvac,surv,0.6999976602325889,0.0029689228030348566,258012.314,0.3,0.3,1,1,1,1,1,1,1,1,1,0.4,0.7000000000000001,500000
special_no,ve-pvac,surv,0.7998814701165292,0.0022178911006152983,252006.59,0.3,0.3,1,1,1,1,1,1,1,1,1,0.4,0.8,500000
special_no,ve-pvac,surv,0.8999993654364146,0.001464586261823009,246005.264,0.3,0.3,1,1,1,1,1,1,1,1,1,0.4,0.9,500000
special_no,ve-pvac,surv,0.0995910764932652,0.006515619668060302,293243.312,0.3,0.3,1,1,1,1,1,1,1,1,1,0.45,0.1,500000
special_no,ve-pvac,surv,0.20005042527869593,0.006037686505614519,286481.734,0.3,0.3,1,1,1,1,1,1,1,1,1,0.45,0.2,500000
special_no,ve-pvac,surv,0.3002697376551259,0.005458096632635642,279767.34,0.3,0.3,1,1,1,1,1,1,1,1,1,0.45,0.30000000000000004,500000
special_no,ve-pvac,surv,0.4002302692206009,0.004871675110059791,273017.666,0.3,0.3,1,1,1,1,1,1,1,1,1,0.45,0.4,500000
special_no,ve-pvac,surv,0.4999818173350692,0.003903412613625716,266225.004,0.3,0.3,1,1,1,1,1,1,1,1,1,0.45,0.5,500000
special_no,ve-pvac,surv,0.5999744325282688,0.003535069873161709,259524.53,0.3,0.3,1,1,1,1,1,1,1,1,1,0.45,0.6,500000
special_no,ve-pvac,surv,0.7002133144113336,0.002809378067448327,252738.98,0.3,0.3,1,1,1,1,1,1,1,1,1,0.45,0.7000000000000001,500000
special_no,ve-pvac,surv,0.8000056624348467,0.002115276860978601,245993.658,0.3,0.3,1,1,1,1,1,1,1,1,1,0.45,0.8,500000
special_no,ve-pvac,surv,0.900031853169203,0.0013739797171992238,239275.646,0.3,0.3,1,1,1,1,1,1,1,1,1,0.45,0.9,500000
special_no,ve-pvac,surv,0.09966320012752099,0.0063295354730576354,292495.768,0.3,0.3,1,1,1,1,1,1,1,1,1,0.5,0.1,500000
special_no,ve-pvac,surv,0.199891157151993,0.00571256106565231,285017.742,0.3,0.3,1,1,1,1,1,1,1,1,1,0.5,0.2,500000
special_no,ve-pvac,surv,0.30028275377764096,0.005475819544470182,277483.62,0.3,0.3,1,1,1,1,1,1,1,1,1,0.5,0.30000000000000004,500000
special_no,ve-pvac,surv,0.40041886660381343,0.005083144717512962,270002.234,0.3,0.3,1,1,1,1,1,1,1,1,1,0.5,0.4,500000
special_no,ve-pvac,surv,0.5002501920246398,0.00418179209547971,262494.186,0.3,0.3,1,1,1,1,1,1,1,1,1,0.5,0.5,500000
special_no,ve-pvac,surv,0.5997693199702536,0.0033066508555802533,255030.796,0.3,0.3,1,1,1,1,1,1,1,1,1,0.5,0.6,500000
special_no,ve-pvac,surv,0.7001786202566185,0.002971380092744087,247523.628,0.3,0.3,1,1,1,1,1,1,1,1,1,0.5,0.7000000000000001,500000
special_no,ve-pvac,surv,0.7999003595524421,0.002023343687364593,240008.084,0.3,0.3,1,1,1,1,1,1,1,1,1,0.5,0.8,500000
special_no,ve-pvac,surv,0.8999182415488393,0.0012957652208244392,232503.428,0.3,0.3,1,1,1,1,1,1,1,1,1,0.5,0.9,500000
