name,vary_name,type,ve_est_mean,ve_est_sd,n_study_mean,pflu,ve,pnonflu,sympt,clin,test_clin,test_nonclin,sens_vac,spec_vac,sens_flu,spec_flu,prop,pvac,nsam
adults,sympt,surv,0.274410598394216,0.05491075777966687,3850.15,0.08,0.5,0.15,0.1,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,sympt,surv,0.2759089084577877,0.03925571751969486,7695.534,0.08,0.5,0.15,0.2,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,sympt,surv,0.27248725109391003,0.030798447332979723,11543.114,0.08,0.5,0.15,0.30000000000000004,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,sympt,surv,0.2748027849724262,0.026382459781092688,15399.78,0.08,0.5,0.15,0.4,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,sympt,surv,0.27428085051248985,0.025261196868092844,19249.96,0.08,0.5,0.15,0.5,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,sympt,surv,0.27400054407331426,0.02296477648423616,23098.788,0.08,0.5,0.15,0.6,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,sympt,surv,0.2742538259561741,0.019789683936149632,26952.858,0.08,0.5,0.15,0.7000000000000001,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,sympt,surv,0.27370714465756424,0.018643226871878915,30803.238,0.08,0.5,0.15,0.8,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,clin,surv,0.2691330441898112,0.058938224684450743,3236.708,0.08,0.5,0.15,0.84,0.1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,clin,surv,0.2721418746222799,0.04355858894693922,6464.716,0.08,0.5,0.15,0.84,0.2,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,clin,surv,0.2739570763072949,0.03430102821910982,9706.114,0.08,0.5,0.15,0.84,0.30000000000000004,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,clin,surv,0.2742182153702295,0.03059629767387124,12932.238,0.08,0.5,0.15,0.84,0.4,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
